name,title,patriarchate,metropolitan,episcopate,monasticism,birthdate,profile_url,image_url
Bishop Eklemandos,"General Bishop of Almaza, Amal City & East Nasr City",,,24/05/2015,23/03/1992,06/01/1963,https://copticorthodox.church/en/bishops/bishop-eklemandos/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201489%201860'%3E%3C/svg%3E"
Bishop Marc,Bishop of Paris & North France,,,24/05/2015,31/12/2001,28/09/1970,https://copticorthodox.church/en/bishops/bishop-marc/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201517%201896'%3E%3C/svg%3E"
Bishop Hermina,General Bishop of East Alexandria,,,24/05/2015,03/08/2002,13/11/1972,https://copticorthodox.church/en/bishops/bishop-hermina/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201600%202000'%3E%3C/svg%3E"
Bishop Peter,"Bishop of North, South Carolina & Kentucky, USA",,,12/06/2016,01/07/2006,10/12/1974,https://copticorthodox.church/en/bishops/bishop-peter/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201795%202244'%3E%3C/svg%3E"
Bishop Abraham,"General Bishop of Los Angeles, USA",,,12/06/2016,08/05/2016,11/10/1965,https://copticorthodox.church/en/bishops/bishop-abraham/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201600%202000'%3E%3C/svg%3E"
Bishop Kyrillos,"General Bishop of Los Angeles, USA",,,12/06/2016,08/05/2016,09/10/1974,https://copticorthodox.church/en/bishops/bishop-kyrillos/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201600%202000'%3E%3C/svg%3E"
Bishop Bigol,Bishop & Abbot of St. Mary Muharraq Monastery,,,12/11/2017,07/03/2001,31/10/1966,https://copticorthodox.church/en/bishops/bishop-bigol/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201795%202244'%3E%3C/svg%3E"
Bishop Antonio,"Bishop of Milan, Italy",,,12/11/2017,03/09/1998,12/08/1961,https://copticorthodox.church/en/bishops/bishop-antonio/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201489%201860'%3E%3C/svg%3E"
Bishop Saraphim,"Bishop of Ohio, Michigan & Indiana, USA",,,12/11/2017,06/04/1993,21/02/1959,https://copticorthodox.church/en/bishops/bishop-saraphim/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201403%201753'%3E%3C/svg%3E"
Bishop Giovanni,"Bishop of Hungary, Romania, Czech, Slovenia & Poland",,,12/11/2017,03/09/1998,24/10/1961,https://copticorthodox.church/en/bishops/bishop-giovanni/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201600%202000'%3E%3C/svg%3E"
Bishop Arsanious,Bishop of New Valley & The Oases,,,25/11/2018,02/03/2006,22/08/1979,https://copticorthodox.church/en/bishops/bishop-arsanious/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201600%202000'%3E%3C/svg%3E"
Bishop Sawerous,"Bishop & Abbot of St. Thomas & St. Vector Monasteries, Khatatbah",,,25/11/2018,22/03/1984,31/07/1955,https://copticorthodox.church/en/bishops/bishop-sawerous/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201639%202048'%3E%3C/svg%3E"
Bishop Mikhael,Bishop of Helwan & Maasarah,,,25/11/2018,11/07/2003,02/10/1976,https://copticorthodox.church/en/bishops/bishop-mikhael/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201638%202048'%3E%3C/svg%3E"
Bishop Basil,General Bishop of Southern USA,,,25/11/2018,18/04/2009,18/12/1985,https://copticorthodox.church/en/bishops/bishop-basil/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201600%202000'%3E%3C/svg%3E"
Bishop Gregory,General Bishop of Southern USA,,,25/11/2018,23/04/2011,18/02/1980,https://copticorthodox.church/en/bishops/bishop-gregory/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201600%202000'%3E%3C/svg%3E"
Bishop Mataeos,Bishop & Abbot of St. Mary Akhmim Monastery,,,09/06/2019,22/02/2004,08/12/1963,https://copticorthodox.church/en/bishops/bishop-mataeos-2/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201639%202048'%3E%3C/svg%3E"
Bishop Theophilus,Bishop of Manfalout,,,09/06/2019,10/03/1996,22/06/1972,https://copticorthodox.church/en/bishops/bishop-theophilus/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201795%202244'%3E%3C/svg%3E"
Bishop Elarion,Bishop of Red Sea,,,09/06/2019,31/03/2001,25/08/1966,https://copticorthodox.church/en/bishops/bishop-elarion-2/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201638%202048'%3E%3C/svg%3E"
Bishop Boules,"Bishop of Ottawa, Montreal & Eastern Canada",,,09/06/2019,24/04/2004,24/02/1972,https://copticorthodox.church/en/bishops/bishop-boules-2/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201600%202000'%3E%3C/svg%3E"
Bishop Aghabious,"Bishop & Abbot of St. Bishoy Monastery, Wadi El-Natroun",,,07/03/2021,15/12/1977,16/02/1953,https://copticorthodox.church/en/bishops/bishop-aghabious/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%202048%202560'%3E%3C/svg%3E"
Bishop Philobatir,"Bishop of Abu Qurqas, Minya",,,07/03/2021,22/04/2005,01/01/1976,https://copticorthodox.church/en/bishops/bishop-philobatir/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201638%202048'%3E%3C/svg%3E"
Bishop Fam,Bishop of East Minya,,,07/03/2021,29/03/2003,02/05/1973,https://copticorthodox.church/en/bishops/bishop-fam/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%202048%202560'%3E%3C/svg%3E"
Bishop Joseph,"Bishop of Namibia, Botswana, Zimbabwe, Malawi",,,07/03/2021,14/03/1990,17/03/1959,https://copticorthodox.church/en/bishops/bishop-joseph/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201639%202048'%3E%3C/svg%3E"
Bishop Sidarous,"General Bishop of Ezbit El Nakhl & El Marg, Cairo",,,07/03/2021,16/01/1996,06/09/1963,https://copticorthodox.church/en/bishops/bishop-sidarous/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201489%201860'%3E%3C/svg%3E"
Bishop Rwis,General Bishop of East Asia,,,07/03/2021,07/03/2001,30/05/1964,https://copticorthodox.church/en/bishops/bishop-rwis/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201795%202244'%3E%3C/svg%3E"
Bishop Axios,Bishop of Mansoura,,,07/03/2021,10/03/2007,03/07/1974,https://copticorthodox.church/en/bishops/bishop-axios/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%202048%202560'%3E%3C/svg%3E"
Bishop Arsanious,"Bishop & Abbot of St. Pakhomious Monastery, Hagir Edfu, Aswan",,,05/06/2022,27/12/1987,14/07/1957,https://copticorthodox.church/en/bishops/bishop-arsanious-2/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201489%201860'%3E%3C/svg%3E"
Bishop Discoros,"Bishop & Abbot of St. John the Short's Monastery, El Alamein Road",,,05/06/2022,13/11/1995,25/08/1965,https://copticorthodox.church/en/bishops/bishop-discoros-2/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201489%201860'%3E%3C/svg%3E"
Bishop Bishoy,"Bishop of Aswan, Kom Ombo & Edfu",,,05/06/2022,06/11/1992,26/10/1963,https://copticorthodox.church/en/bishops/bishop-bishoy/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201638%202048'%3E%3C/svg%3E"
Bishop Anianos,Bishop of Bani Mazar & Bahnasa,,,05/06/2022,10/08/1992,24/05/1962,https://copticorthodox.church/en/bishops/bishop-anianos/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201489%201860'%3E%3C/svg%3E"
Bishop Nofer,Bishop of Shibin El Qanater,,,05/06/2022,03/01/2012,19/10/1972,https://copticorthodox.church/en/bishops/bishop-nofer/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201489%201860'%3E%3C/svg%3E"
Bishop Bisenti,"Bishop of Abnoub, Fattah & New Assiut and Abbot of St. Mina Monastery, Abnoub",,,05/06/2022,31/07/1988,27/09/1964,https://copticorthodox.church/en/bishops/bishop-bisenti-2/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201489%201860'%3E%3C/svg%3E"
Bishop Ignatius,General Bishop of Mahala Kobra,,,05/06/2022,11/11/1992,03/12/1966,https://copticorthodox.church/en/bishops/bishop-ignatius/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201489%201860'%3E%3C/svg%3E"
Bishop Thomas,"Bishop and Abbot of the Virgin Mary's and the Archangel Michael's Monastery, Al-Bahnsa, Minya",,,05/06/2022,16/12/2003,16/12/1973,https://copticorthodox.church/en/bishops/bishop-thomas-2/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201489%201860'%3E%3C/svg%3E"
Bishop Archilides,General Bishop of Toronto & Middle Canada,,,05/06/2022,17/07/2001,20/12/1964,https://copticorthodox.church/en/bishops/bishop-archilides/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201489%201860'%3E%3C/svg%3E"
Bishop Gabriel,"General Bishop of New Jersey, USA",,,05/06/2022,04/01/2016,26/01/1981,https://copticorthodox.church/en/bishops/bishop-gabriel-2/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201489%201860'%3E%3C/svg%3E"
Bishop Ecladious,"Bishop and Abbot of St. Pachomious Monastery Al-Shayeb, Luxor",,,10/03/2024,06/03/2004,01/08/1973,https://copticorthodox.church/en/bishops/bishop-ecladious/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201489%201860'%3E%3C/svg%3E"
Bishop Bidaba,"Bishop of Nag Hammadi, Bahghoura and Farshout",,,10/03/2024,18/07/2005,07/09/1969,https://copticorthodox.church/en/bishops/bishop-bidaba/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201489%201860'%3E%3C/svg%3E"
